Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
2/28/2021,400,Endocrinology,Adult,16-64, 6-9 Months,52
2/28/2021,400,Endocrinology,Adult,16-64,15-18 Months,93
2/28/2021,600,Otolaryngology (ENT),Adult,16-64,18 Months +,4
2/28/2021,600,Otolaryngology (ENT),Adult,65+, 3-6 Months,41
2/28/2021,1300,Neurology,Child,0-15,15-18 Months,1
2/28/2021,1503,Gynaecology,Adult,16-64, 9-12 Months,69
2/28/2021,1503,Gynaecology,Child,0-15, 9-12 Months,1
2/28/2021,1600,Oncology,Adult,65+, 0-3 Months,31
2/28/2021,1600,Oncology,Adult,65+, 6-9 Months,6
2/28/2021,1700,Ophthalmology,Adult,16-64,15-18 Months,161
2/28/2021,1700,Ophthalmology,Adult,65+, 9-12 Months,63
2/28/2021,1700,Ophthalmology,Child,0-15, 9-12 Months,21
2/28/2021,1800,Orthopaedics,Adult,16-64, 3-6 Months,621
2/28/2021,1800,Orthopaedics,Adult,16-64,12-15 Months,457
2/28/2021,1800,Orthopaedics,Adult,65+, 9-12 Months,165
2/28/2021,1900,Paediatrics,Adult,16-64,18 Months +,7
2/28/2021,1900,Paediatrics,Child,0-15, 3-6 Months,371
2/28/2021,1900,Paediatrics,Child,0-15,12-15 Months,120
2/28/2021,1900,Paediatrics,Child,0-15,18 Months +,106
2/28/2021,2000,Plastic Surgery,Adult,16-64,18 Months +,250
2/28/2021,2000,Plastic Surgery,Adult,65+, 0-3 Months,132
2/28/2021,2000,Plastic Surgery,Adult,65+, 6-9 Months,120
2/28/2021,2000,Plastic Surgery,Adult,65+,15-18 Months,48
2/28/2021,2000,Plastic Surgery,Child,0-15, 3-6 Months,58
2/28/2021,2000,Plastic Surgery,Child,0-15,12-15 Months,33
2/28/2021,2000,Plastic Surgery,Child,0-15,18 Months +,40
2/28/2021,2300,Nephrology,Adult,16-64, 0-3 Months,77
2/28/2021,2300,Nephrology,Adult,16-64, 3-6 Months,63
2/28/2021,2300,Nephrology,Adult,16-64, 6-9 Months,50
2/28/2021,2300,Nephrology,Adult,16-64,12-15 Months,40
2/28/2021,2300,Nephrology,Adult,16-64,15-18 Months,18
2/28/2021,2400,Respiratory Medicine,Adult,16-64, 9-12 Months,109
2/28/2021,2500,Rheumatology,Adult,16-64, 3-6 Months,180
2/28/2021,2500,Rheumatology,Adult,16-64, 6-9 Months,146
2/28/2021,2500,Rheumatology,Adult,16-64,12-15 Months,133
2/28/2021,2500,Rheumatology,Adult,16-64,15-18 Months,140
2/28/2021,2600,General Surgery,Adult,65+, 9-12 Months,27
2/28/2021,2600,General Surgery,Adult,65+,18 Months +,14
2/28/2021,2604,Vascular Surgery,Adult,65+, 9-12 Months,62
2/28/2021,5000,General Medicine,Adult,16-64,18 Months +,466
2/28/2021,5000,General Medicine,Adult,65+, 0-3 Months,28
2/28/2021,5000,General Medicine,Adult,65+, 3-6 Months,30
2/28/2021,5000,General Medicine,Adult,65+,12-15 Months,31
2/28/2021,5000,General Medicine,Adult,65+,15-18 Months,27
2/28/2021,5000,General Medicine,Child,0-15, 6-9 Months,1
2/28/2021,7001,Oral Surgery,Adult,65+, 0-3 Months,25
2/28/2021,7001,Oral Surgery,Adult,65+, 3-6 Months,42
2/28/2021,7001,Oral Surgery,Adult,65+, 6-9 Months,29
2/28/2021,7001,Oral Surgery,Adult,65+,12-15 Months,31
2/28/2021,7001,Oral Surgery,Adult,65+,15-18 Months,32
2/28/2021,7001,Oral Surgery,Child,0-15, 0-3 Months,22
2/28/2021,7001,Oral Surgery,Child,0-15, 3-6 Months,39
2/28/2021,7001,Oral Surgery,Child,0-15,12-15 Months,21
2/28/2021,7400,Pathology,Adult,16-64, 9-12 Months,13
2/28/2021,700,Gastro-Enterology,Adult,16-64, 3-6 Months,164
2/28/2021,700,Gastro-Enterology,Adult,16-64,12-15 Months,68
2/28/2021,700,Gastro-Enterology,Adult,65+, 9-12 Months,19
2/28/2021,900,Geriatric Medicine,Adult,16-64, 0-3 Months,4
2/28/2021,900,Geriatric Medicine,Adult,16-64, 6-9 Months,2
2/28/2021,900,Geriatric Medicine,Adult,65+, 9-12 Months,7
2/28/2021,1100,Haematology,Adult,16-64, 9-12 Months,52
2/28/2021,1100,Haematology,Adult,65+,18 Months +,47
2/28/2021,1300,Neurology,Adult,16-64, 9-12 Months,140
2/28/2021,1300,Neurology,Adult,65+,18 Months +,50
2/28/2021,1503,Gynaecology,Adult,16-64,18 Months +,12
2/28/2021,1503,Gynaecology,Adult,65+, 3-6 Months,8
2/28/2021,1503,Gynaecology,Adult,65+, 6-9 Months,5
2/28/2021,1503,Gynaecology,Adult,65+,12-15 Months,9
2/28/2021,1503,Gynaecology,Adult,65+,15-18 Months,1
2/28/2021,1600,Oncology,Adult,16-64, 0-3 Months,20
2/28/2021,1600,Oncology,Adult,16-64, 3-6 Months,1
2/28/2021,1600,Oncology,Adult,16-64, 6-9 Months,1
2/28/2021,1700,Ophthalmology,Adult,16-64, 0-3 Months,87
2/28/2021,1700,Ophthalmology,Adult,65+, 3-6 Months,81
2/28/2021,1700,Ophthalmology,Adult,65+, 6-9 Months,23
2/28/2021,1700,Ophthalmology,Adult,65+,12-15 Months,8
2/28/2021,1700,Ophthalmology,Adult,65+,15-18 Months,3
2/28/2021,1800,Orthopaedics,Adult,65+, 0-3 Months,172
2/28/2021,1800,Orthopaedics,Adult,65+, 6-9 Months,178
2/28/2021,1800,Orthopaedics,Adult,65+,15-18 Months,151
2/28/2021,1800,Orthopaedics,Adult,65+,18 Months +,429
2/28/2021,2000,Plastic Surgery,Adult,0-15, 3-6 Months,1
2/28/2021,2000,Plastic Surgery,Adult,0-15, 6-9 Months,1
2/28/2021,2000,Plastic Surgery,Adult,16-64, 3-6 Months,178
2/28/2021,2000,Plastic Surgery,Adult,16-64,12-15 Months,84
2/28/2021,2000,Plastic Surgery,Adult,65+, 9-12 Months,32
2/28/2021,2100,Psychiatry,Adult,65+, 0-3 Months,1
2/28/2021,2400,Respiratory Medicine,Adult,16-64, 0-3 Months,322
2/28/2021,2400,Respiratory Medicine,Adult,16-64, 6-9 Months,158
2/28/2021,2400,Respiratory Medicine,Adult,16-64,18 Months +,620
2/28/2021,2400,Respiratory Medicine,Adult,65+, 3-6 Months,57
2/28/2021,2400,Respiratory Medicine,Adult,65+,12-15 Months,68
2/28/2021,2500,Rheumatology,Adult,16-64, 9-12 Months,88
2/28/2021,2500,Rheumatology,Adult,65+, 0-3 Months,59
2/28/2021,2600,General Surgery,Adult,16-64, 0-3 Months,1415
2/28/2021,2600,General Surgery,Adult,16-64, 3-6 Months,284
2/28/2021,2600,General Surgery,Adult,65+, 6-9 Months,13
2/28/2021,2604,Vascular Surgery,Adult,65+, 0-3 Months,100
2/28/2021,2604,Vascular Surgery,Adult,65+, 3-6 Months,29
2/28/2021,2604,Vascular Surgery,Adult,65+, 6-9 Months,37
2/28/2021,2604,Vascular Surgery,Adult,65+,12-15 Months,36
2/28/2021,2604,Vascular Surgery,Adult,65+,15-18 Months,9
2/28/2021,2700,Infectious Diseases,Adult,16-64, 0-3 Months,140
2/28/2021,2700,Infectious Diseases,Adult,16-64, 6-9 Months,11
2/28/2021,7600,Cardio-Thoracic Surgery,Adult,65+, 0-3 Months,15
2/28/2021,7600,Cardio-Thoracic Surgery,Adult,65+, 6-9 Months,1
2/28/2021,7600,Cardio-Thoracic Surgery,Child,0-15, 3-6 Months,1
2/28/2021,7800,Urology,Adult,16-64, 3-6 Months,249
2/28/2021,7800,Urology,Adult,16-64, 6-9 Months,152
2/28/2021,7800,Urology,Adult,16-64,12-15 Months,160
2/28/2021,7800,Urology,Adult,16-64,15-18 Months,142
2/28/2021,7800,Urology,Child,0-15, 3-6 Months,123
2/28/2021,7800,Urology,Child,0-15, 6-9 Months,57
2/28/2021,7800,Urology,Child,0-15,12-15 Months,62
2/28/2021,7800,Urology,Child,0-15,15-18 Months,58
2/28/2021,7900,Clinical Immunology,Adult,16-64, 0-3 Months,74
2/28/2021,7900,Clinical Immunology,Adult,16-64, 3-6 Months,69
2/28/2021,7900,Clinical Immunology,Adult,16-64, 6-9 Months,47
2/28/2021,7900,Clinical Immunology,Adult,16-64,12-15 Months,69
2/28/2021,7900,Clinical Immunology,Adult,16-64,15-18 Months,54
2/28/2021,7900,Clinical Immunology,Child,0-15, 6-9 Months,2
2/28/2021,7900,Clinical Immunology,Child,0-15,15-18 Months,1
2/28/2021,8000,Anaesthetics,Adult,16-64, 9-12 Months,30
2/28/2021,8000,Anaesthetics,Adult,16-64,18 Months +,655
2/28/2021,8000,Anaesthetics,Adult,65+, 3-6 Months,10
2/28/2021,8000,Anaesthetics,Adult,65+,12-15 Months,17
2/28/2021,8003,Pain Relief,Adult,16-64, 9-12 Months,2
2/28/2021,8003,Pain Relief,Adult,65+,18 Months +,10
2/28/2021,300,Dermatology,Adult,16-64, 9-12 Months,10
2/28/2021,300,Dermatology,Adult,65+,18 Months +,105
2/28/2021,600,Otolaryngology (ENT),Adult,65+, 9-12 Months,8
2/28/2021,900,Geriatric Medicine,Adult,65+, 0-3 Months,22
2/28/2021,1503,Gynaecology,Adult,16-64, 3-6 Months,137
2/28/2021,1503,Gynaecology,Adult,16-64,12-15 Months,3
2/28/2021,1503,Gynaecology,Adult,65+, 9-12 Months,2
2/28/2021,1800,Orthopaedics,Adult,16-64, 3-6 Months,366
2/28/2021,1800,Orthopaedics,Adult,16-64, 6-9 Months,224
2/28/2021,1800,Orthopaedics,Adult,16-64,12-15 Months,111
2/28/2021,1800,Orthopaedics,Adult,16-64,15-18 Months,11
2/28/2021,1800,Orthopaedics,Child,0-15, 6-9 Months,26
2/28/2021,1800,Orthopaedics,Child,0-15,15-18 Months,17
2/28/2021,1900,Paediatrics,Child,0-15, 0-3 Months,179
2/28/2021,2300,Nephrology,Adult,16-64, 0-3 Months,10
2/28/2021,2300,Nephrology,Adult,16-64, 3-6 Months,2
2/28/2021,2300,Nephrology,Adult,16-64, 6-9 Months,4
2/28/2021,2300,Nephrology,Adult,16-64,12-15 Months,4
2/28/2021,2300,Nephrology,Adult,16-64,18 Months +,39
2/28/2021,2600,General Surgery,Adult,16-64, 9-12 Months,175
2/28/2021,2600,General Surgery,Adult,16-64,15-18 Months,141
2/28/2021,2600,General Surgery,Child,0-15, 9-12 Months,24
2/28/2021,5000,General Medicine,Adult,65+, 0-3 Months,161
2/28/2021,5000,General Medicine,Adult,65+, 3-6 Months,162
2/28/2021,5000,General Medicine,Adult,65+, 6-9 Months,143
2/28/2021,5000,General Medicine,Adult,65+,12-15 Months,93
2/28/2021,5000,General Medicine,Adult,65+,15-18 Months,69
2/28/2021,5000,General Medicine,Adult,65+,18 Months +,395
2/28/2021,5000,General Medicine,Child,0-15, 0-3 Months,2
2/28/2021,7800,Urology,Adult,16-64, 0-3 Months,18
2/28/2021,7800,Urology,Adult,65+, 6-9 Months,7
2/28/2021,7800,Urology,Adult,65+,15-18 Months,7
2/28/2021,7800,Urology,Child,0-15, 0-3 Months,1
2/28/2021,7800,Urology,Child,0-15, 3-6 Months,1
2/28/2021,7800,Urology,Child,0-15,12-15 Months,1
2/28/2021,400,Endocrinology,Adult,16-64, 0-3 Months,39
2/28/2021,400,Endocrinology,Adult,65+, 6-9 Months,15
2/28/2021,400,Endocrinology,Adult,65+,15-18 Months,20
2/28/2021,600,Otolaryngology (ENT),Adult,0-15, 9-12 Months,11
2/28/2021,600,Otolaryngology (ENT),Adult,16-64, 9-12 Months,15
2/28/2021,600,Otolaryngology (ENT),Adult,65+, 3-6 Months,18
2/28/2021,600,Otolaryngology (ENT),Adult,65+, 6-9 Months,6
2/28/2021,600,Otolaryngology (ENT),Adult,65+,12-15 Months,9
2/28/2021,1800,Orthopaedics,Adult,0-15, 9-12 Months,1
2/28/2021,1800,Orthopaedics,Adult,16-64, 9-12 Months,5
2/28/2021,1800,Orthopaedics,Adult,65+, 0-3 Months,7
2/28/2021,1800,Orthopaedics,Adult,65+,18 Months +,70
2/28/2021,2000,Plastic Surgery,Adult,0-15, 0-3 Months,11
2/28/2021,2000,Plastic Surgery,Adult,16-64, 3-6 Months,214
2/28/2021,2000,Plastic Surgery,Adult,16-64, 6-9 Months,203
2/28/2021,2000,Plastic Surgery,Adult,16-64,12-15 Months,128
2/28/2021,2000,Plastic Surgery,Adult,16-64,15-18 Months,168
2/28/2021,2600,General Surgery,Adult,16-64,18 Months +,4
2/28/2021,2600,General Surgery,Adult,65+, 0-3 Months,80
2/28/2021,2600,General Surgery,Adult,65+, 3-6 Months,45
2/28/2021,2600,General Surgery,Adult,65+,12-15 Months,1
2/28/2021,2600,General Surgery,Adult,65+,15-18 Months,1
2/28/2021,2604,Vascular Surgery,Adult,65+, 0-3 Months,71
2/28/2021,2604,Vascular Surgery,Adult,65+,18 Months +,154
2/28/2021,5000,General Medicine,Adult,16-64, 0-3 Months,68
2/28/2021,5000,General Medicine,Adult,16-64, 6-9 Months,24
2/28/2021,5000,General Medicine,Adult,16-64,15-18 Months,12
2/28/2021,5000,General Medicine,Adult,65+, 9-12 Months,23
2/28/2021,7800,Urology,Adult,0-15, 3-6 Months,3
2/28/2021,7800,Urology,Adult,0-15, 6-9 Months,2
2/28/2021,7800,Urology,Adult,0-15,12-15 Months,1
2/28/2021,7800,Urology,Adult,16-64, 9-12 Months,26
2/28/2021,7800,Urology,Adult,16-64,15-18 Months,34
2/28/2021,100,Cardiology,Adult,16-64, 0-3 Months,85
2/28/2021,100,Cardiology,Adult,16-64, 3-6 Months,92
2/28/2021,100,Cardiology,Adult,16-64,12-15 Months,61
2/28/2021,100,Cardiology,Adult,65+, 6-9 Months,22
2/28/2021,100,Cardiology,Adult,65+,15-18 Months,25
2/28/2021,300,Dermatology,Adult,16-64, 9-12 Months,18
2/28/2021,300,Dermatology,Adult,65+,18 Months +,25
2/28/2021,2700,Infectious Diseases,Adult,16-64,12-15 Months,7
2/28/2021,3000,Rehabilitation Medicine,Adult,16-64, 0-3 Months,3
2/28/2021,7500,Radiotherapy,Adult,65+, 0-3 Months,10
2/28/2021,7500,Radiotherapy,Adult,65+, 3-6 Months,1
2/28/2021,7800,Urology,Adult,16-64, 9-12 Months,52
2/28/2021,7800,Urology,Adult,65+, 0-3 Months,129
2/28/2021,7800,Urology,Adult,65+,18 Months +,29
2/28/2021,8003,Pain Relief,Adult,16-64, 0-3 Months,107
2/28/2021,8003,Pain Relief,Adult,16-64,15-18 Months,31
2/28/2021,8003,Pain Relief,Adult,65+, 3-6 Months,33
2/28/2021,8003,Pain Relief,Adult,65+,12-15 Months,35
2/28/2021,100,Cardiology,Adult,16-64, 0-3 Months,7
2/28/2021,100,Cardiology,Adult,65+, 3-6 Months,6
2/28/2021,100,Cardiology,Adult,65+, 6-9 Months,2
2/28/2021,400,Endocrinology,Adult,16-64, 3-6 Months,3
2/28/2021,400,Endocrinology,Adult,16-64,12-15 Months,1
2/28/2021,402,Diabetes Mellitus,Adult,65+, 3-6 Months,2
2/28/2021,402,Diabetes Mellitus,Adult,65+,12-15 Months,1
2/28/2021,600,Otolaryngology (ENT),Adult,16-64, 0-3 Months,109
2/28/2021,600,Otolaryngology (ENT),Adult,16-64, 3-6 Months,87
2/28/2021,600,Otolaryngology (ENT),Adult,16-64, 6-9 Months,80
2/28/2021,600,Otolaryngology (ENT),Adult,16-64,12-15 Months,76
2/28/2021,600,Otolaryngology (ENT),Adult,16-64,15-18 Months,52
2/28/2021,600,Otolaryngology (ENT),Adult,65+, 9-12 Months,13
2/28/2021,700,Gastro-Enterology,Adult,16-64, 9-12 Months,5
2/28/2021,1503,Gynaecology,Adult,16-64, 0-3 Months,99
2/28/2021,1503,Gynaecology,Adult,16-64, 3-6 Months,64
2/28/2021,1503,Gynaecology,Adult,16-64, 6-9 Months,85
2/28/2021,1503,Gynaecology,Adult,16-64,12-15 Months,116
2/28/2021,1503,Gynaecology,Adult,65+, 9-12 Months,18
2/28/2021,1503,Gynaecology,Adult,65+,15-18 Months,47
2/28/2021,1700,Ophthalmology,Adult,0-15, 0-3 Months,188
2/28/2021,1700,Ophthalmology,Adult,0-15,18 Months +,30
2/28/2021,1700,Ophthalmology,Adult,16-64, 0-3 Months,12
2/28/2021,1700,Ophthalmology,Adult,16-64, 3-6 Months,3
2/28/2021,1800,Orthopaedics,Adult,16-64, 0-3 Months,14
2/28/2021,1800,Orthopaedics,Adult,65+, 3-6 Months,2
2/28/2021,2600,General Surgery,Adult,16-64, 0-3 Months,130
2/28/2021,2600,General Surgery,Adult,16-64, 6-9 Months,35
2/28/2021,2600,General Surgery,Adult,16-64,15-18 Months,45
2/28/2021,2604,Vascular Surgery,Adult,16-64, 0-3 Months,87
2/28/2021,2604,Vascular Surgery,Adult,16-64, 6-9 Months,21
2/28/2021,2604,Vascular Surgery,Adult,16-64,15-18 Months,1
2/28/2021,2604,Vascular Surgery,Adult,65+, 3-6 Months,25
2/28/2021,7800,Urology,Adult,65+, 0-3 Months,24
2/28/2021,7800,Urology,Adult,65+, 3-6 Months,4
2/28/2021,7800,Urology,Adult,65+, 6-9 Months,3
2/28/2021,7800,Urology,Adult,65+,12-15 Months,2
2/28/2021,600,Otolaryngology (ENT),Adult,16-64,18 Months +,1556
2/28/2021,600,Otolaryngology (ENT),Adult,65+, 0-3 Months,122
2/28/2021,600,Otolaryngology (ENT),Adult,65+, 3-6 Months,95
2/28/2021,600,Otolaryngology (ENT),Adult,65+,12-15 Months,75
2/28/2021,1503,Gynaecology,Adult,16-64, 3-6 Months,214
2/28/2021,1503,Gynaecology,Adult,16-64, 6-9 Months,124
2/28/2021,1503,Gynaecology,Adult,16-64,12-15 Months,11
2/28/2021,1503,Gynaecology,Adult,65+, 9-12 Months,10
2/28/2021,1503,Gynaecology,Child,0-15, 3-6 Months,7
2/28/2021,1503,Gynaecology,Child,0-15, 6-9 Months,2
2/28/2021,1503,Gynaecology,Child,0-15,12-15 Months,1
2/28/2021,1800,Orthopaedics,Adult,16-64, 0-3 Months,5
2/28/2021,1800,Orthopaedics,Adult,16-64, 6-9 Months,6
2/28/2021,1800,Orthopaedics,Adult,16-64,15-18 Months,4
2/28/2021,1800,Orthopaedics,Adult,65+, 3-6 Months,2
2/28/2021,1800,Orthopaedics,Adult,65+,12-15 Months,4
2/28/2021,1900,Paediatrics,Adult,65+, 0-3 Months,1
2/28/2021,2400,Respiratory Medicine,Adult,16-64, 3-6 Months,47
2/28/2021,2400,Respiratory Medicine,Adult,16-64,12-15 Months,31
2/28/2021,2400,Respiratory Medicine,Adult,65+, 9-12 Months,16
2/28/2021,2600,General Surgery,Adult,16-64, 0-3 Months,173
2/28/2021,2600,General Surgery,Adult,65+, 9-12 Months,1
2/28/2021,5000,General Medicine,Adult,65+, 0-3 Months,21
2/28/2021,6200,Clinical Neurophysiology,Adult,16-64,18 Months +,40
2/28/2021,6200,Clinical Neurophysiology,Adult,65+, 0-3 Months,9
2/28/2021,6200,Clinical Neurophysiology,Adult,65+, 3-6 Months,9
2/28/2021,6200,Clinical Neurophysiology,Adult,65+,12-15 Months,11
2/28/2021,7800,Urology,Adult,16-64,18 Months +,87
2/28/2021,7800,Urology,Adult,65+, 0-3 Months,25
2/28/2021,7800,Urology,Adult,65+, 6-9 Months,16
2/28/2021,7800,Urology,Adult,65+,12-15 Months,15
2/28/2021,7800,Urology,Adult,65+,15-18 Months,15
2/28/2021,7800,Urology,Child,0-15, 0-3 Months,3
2/28/2021,7800,Urology,Child,0-15, 3-6 Months,2
2/28/2021,7800,Urology,Child,0-15,12-15 Months,2
2/28/2021,8000,Anaesthetics,Adult,16-64, 9-12 Months,30
2/28/2021,100,Cardiology,Adult,16-64, 0-3 Months,199
2/28/2021,100,Cardiology,Adult,16-64, 3-6 Months,181
2/28/2021,100,Cardiology,Adult,16-64, 6-9 Months,126
2/28/2021,100,Cardiology,Adult,16-64,12-15 Months,151
2/28/2021,100,Cardiology,Adult,16-64,15-18 Months,153
2/28/2021,300,Dermatology,Adult,16-64, 9-12 Months,208
2/28/2021,300,Dermatology,Adult,65+, 3-6 Months,132
2/28/2021,300,Dermatology,Adult,65+,12-15 Months,83
2/28/2021,300,Dermatology,Adult,65+,18 Months +,733
2/28/2021,300,Dermatology,Child,0-15,18 Months +,225
2/28/2021,400,Endocrinology,Adult,16-64, 9-12 Months,41
2/28/2021,400,Endocrinology,Adult,65+,18 Months +,140
2/28/2021,600,Otolaryngology (ENT),Adult,16-64, 9-12 Months,292
2/28/2021,600,Otolaryngology (ENT),Child,0-15, 9-12 Months,154
2/28/2021,700,Gastro-Enterology,Adult,16-64,18 Months +,39
2/28/2021,700,Gastro-Enterology,Adult,65+, 0-3 Months,52
2/28/2021,700,Gastro-Enterology,Adult,65+, 3-6 Months,46
2/28/2021,600,Otolaryngology (ENT),Adult,65+,15-18 Months,104
2/28/2021,600,Otolaryngology (ENT),Child,0-15,18 Months +,197
2/28/2021,1700,Ophthalmology,Adult,16-64, 9-12 Months,234
2/28/2021,1700,Ophthalmology,Adult,65+, 3-6 Months,434
2/28/2021,1700,Ophthalmology,Adult,65+,12-15 Months,436
2/28/2021,1700,Ophthalmology,Adult,65+,18 Months +,2617
2/28/2021,1700,Ophthalmology,Child,0-15,18 Months +,269
2/28/2021,1800,Orthopaedics,Adult,16-64, 3-6 Months,351
2/28/2021,1800,Orthopaedics,Adult,16-64, 6-9 Months,158
2/28/2021,1800,Orthopaedics,Adult,16-64,12-15 Months,139
2/28/2021,1800,Orthopaedics,Adult,65+, 9-12 Months,49
2/28/2021,1800,Orthopaedics,Child,0-15, 3-6 Months,36
2/28/2021,1800,Orthopaedics,Child,0-15,12-15 Months,18
2/28/2021,2500,Rheumatology,Adult,16-64, 0-3 Months,37
2/28/2021,2500,Rheumatology,Adult,16-64, 6-9 Months,13
2/28/2021,100,Cardiology,Adult,16-64, 0-3 Months,94
2/28/2021,100,Cardiology,Adult,16-64,15-18 Months,6
2/28/2021,100,Cardiology,Adult,16-64,18 Months +,6
2/28/2021,100,Cardiology,Adult,65+, 3-6 Months,27
2/28/2021,100,Cardiology,Adult,65+, 6-9 Months,12
2/28/2021,100,Cardiology,Adult,65+,12-15 Months,10
2/28/2021,300,Dermatology,Adult,0-15, 3-6 Months,1
2/28/2021,300,Dermatology,Adult,16-64, 9-12 Months,92
2/28/2021,300,Dermatology,Adult,65+,18 Months +,126
2/28/2021,700,Gastro-Enterology,Adult,16-64, 9-12 Months,28
2/28/2021,700,Gastro-Enterology,Adult,65+, 3-6 Months,23
2/28/2021,700,Gastro-Enterology,Adult,65+,12-15 Months,2
2/28/2021,1100,Haematology,Adult,16-64,18 Months +,3
2/28/2021,1100,Haematology,Adult,65+, 0-3 Months,16
2/28/2021,1100,Haematology,Adult,65+, 6-9 Months,9
2/28/2021,1100,Haematology,Adult,65+,15-18 Months,4
2/28/2021,1503,Gynaecology,Adult,16-64, 0-3 Months,163
2/28/2021,1503,Gynaecology,Adult,16-64, 3-6 Months,128
2/28/2021,1503,Gynaecology,Adult,16-64, 6-9 Months,84
2/28/2021,1503,Gynaecology,Adult,16-64,12-15 Months,9
2/28/2021,1503,Gynaecology,Adult,65+, 9-12 Months,3
2/28/2021,1700,Ophthalmology,Adult,16-64, 3-6 Months,22
2/28/2021,1700,Ophthalmology,Adult,16-64, 6-9 Months,10
2/28/2021,1700,Ophthalmology,Adult,16-64,12-15 Months,1
2/28/2021,1700,Ophthalmology,Adult,65+, 9-12 Months,5
2/28/2021,1800,Orthopaedics,Adult,16-64, 0-3 Months,425
2/28/2021,1800,Orthopaedics,Adult,16-64, 3-6 Months,322
2/28/2021,1800,Orthopaedics,Adult,16-64, 6-9 Months,135
2/28/2021,1800,Orthopaedics,Adult,16-64,12-15 Months,38
2/28/2021,1800,Orthopaedics,Adult,16-64,18 Months +,17
2/28/2021,2000,Plastic Surgery,Adult,16-64, 9-12 Months,63
2/28/2021,2000,Plastic Surgery,Adult,65+,18 Months +,4
2/28/2021,2300,Nephrology,Adult,65+, 0-3 Months,27
2/28/2021,2300,Nephrology,Adult,65+, 3-6 Months,7
2/28/2021,2300,Nephrology,Adult,65+, 6-9 Months,6
2/28/2021,2400,Respiratory Medicine,Adult,16-64, 0-3 Months,187
2/28/2021,2400,Respiratory Medicine,Adult,16-64,15-18 Months,43
2/28/2021,2400,Respiratory Medicine,Adult,65+, 9-12 Months,15
2/28/2021,2500,Rheumatology,Adult,16-64, 0-3 Months,152
2/28/2021,2500,Rheumatology,Adult,16-64,18 Months +,100
2/28/2021,2500,Rheumatology,Adult,65+, 3-6 Months,28
2/28/2021,2500,Rheumatology,Adult,65+, 6-9 Months,17
2/28/2021,2500,Rheumatology,Adult,65+,12-15 Months,14
2/28/2021,2500,Rheumatology,Adult,65+,15-18 Months,11
2/28/2021,2600,General Surgery,Adult,16-64, 3-6 Months,119
2/28/2021,2600,General Surgery,Adult,16-64, 6-9 Months,63
2/28/2021,2600,General Surgery,Adult,16-64,12-15 Months,6
2/28/2021,2600,General Surgery,Adult,16-64,15-18 Months,4
2/28/2021,2600,General Surgery,Adult,65+, 9-12 Months,11
2/28/2021,7800,Urology,Adult,16-64, 0-3 Months,224
2/28/2021,7800,Urology,Adult,16-64,18 Months +,16
2/28/2021,7800,Urology,Adult,65+, 3-6 Months,96
2/28/2021,7800,Urology,Adult,65+, 6-9 Months,57
2/28/2021,7800,Urology,Adult,65+,12-15 Months,46
2/28/2021,7800,Urology,Adult,65+,15-18 Months,22
2/28/2021,400,Endocrinology,Adult,65+, 0-3 Months,33
2/28/2021,1503,Gynaecology,Adult,0-15, 6-9 Months,1
2/28/2021,1503,Gynaecology,Adult,65+, 9-12 Months,6
2/28/2021,1700,Ophthalmology,Adult,16-64, 6-9 Months,3
2/28/2021,1700,Ophthalmology,Adult,65+, 9-12 Months,16
2/28/2021,1800,Orthopaedics,Adult,0-15, 0-3 Months,4
2/28/2021,1800,Orthopaedics,Adult,0-15, 3-6 Months,2
2/28/2021,1800,Orthopaedics,Adult,16-64, 6-9 Months,176
2/28/2021,1800,Orthopaedics,Adult,16-64,15-18 Months,110
2/28/2021,2600,General Surgery,Adult,0-15, 3-6 Months,2
2/28/2021,5000,General Medicine,Adult,16-64, 0-3 Months,3
2/28/2021,5000,General Medicine,Adult,65+, 3-6 Months,1
2/28/2021,7800,Urology,Adult,16-64, 0-3 Months,48
2/28/2021,7800,Urology,Adult,16-64, 3-6 Months,3
2/28/2021,7800,Urology,Adult,16-64,15-18 Months,20
2/28/2021,100,Cardiology,Adult,65+, 0-3 Months,24
2/28/2021,100,Cardiology,Adult,65+,18 Months +,11
2/28/2021,300,Dermatology,Adult,16-64, 3-6 Months,53
2/28/2021,300,Dermatology,Adult,16-64, 6-9 Months,32
2/28/2021,300,Dermatology,Adult,16-64,12-15 Months,48
2/28/2021,300,Dermatology,Adult,65+, 9-12 Months,8
2/28/2021,300,Dermatology,Child,0-15, 3-6 Months,1
2/28/2021,600,Otolaryngology (ENT),Adult,16-64,18 Months +,32
2/28/2021,600,Otolaryngology (ENT),Adult,65+, 0-3 Months,49
2/28/2021,600,Otolaryngology (ENT),Adult,65+, 3-6 Months,40
2/28/2021,600,Otolaryngology (ENT),Adult,65+, 6-9 Months,31
2/28/2021,600,Otolaryngology (ENT),Adult,65+,12-15 Months,27
2/28/2021,600,Otolaryngology (ENT),Adult,65+,15-18 Months,15
2/28/2021,601,Paediatric ENT,Child,0-15, 9-12 Months,20
2/28/2021,1300,Neurology,Adult,16-64, 9-12 Months,1
2/28/2021,1503,Gynaecology,Adult,16-64,18 Months +,68
2/28/2021,1503,Gynaecology,Adult,65+, 0-3 Months,21
2/28/2021,1503,Gynaecology,Adult,65+, 3-6 Months,15
